"(in Mio. €) 
Ziffer","2024","2023"
"Umsatzerlöse 
1","16.428","19.660"
"Umsatzkosten","-11.567","-13.671"
"Bruttoergebnis vom Umsatz","4.861","5.989"
"Forschungs- und Entwicklungskosten","-2.020","-2.084"
"Vertriebskosten","-2.298","-2.492"
"Allgemeine Verwaltungskosten","-1.177","-1.209"
"Sonstige betriebliche Erträge 
2","715","338"
"Sonstige betriebliche Aufwendungen 
2","-185","-391"
"Betriebliches Ergebnis","-105","151"
"Beteiligungsergebnis 
3","6.821","4.734"
"Zinserträge 
4","1.294","1.014"
"Zinsaufwendungen 
4","-2.254","-1.586"
"Übriges Finanzergebnis 
5","-205","445"
"Ergebnis der Geschäftstätigkeit","5.552","4.758"
"Ertragsteuern 
6","-34","-298"
"Ergebnis nach Steuern / Jahresüberschuss","5.518","4.460"
