"(in Mio. €)","2024","2023"
"Zinsanteil in der Veränderung der Pensions- und Personalrückstellungen in Zusammenhang  
mit zu verrechnendem Deckungsvermögen","-41","-21"
"Erträge aus zu verrechnendem Deckungsvermögen","76","44"
"Aufwendungen aus zu verrechnendem Deckungsvermögen","–","-1"
"Finanzergebnis aus Pensions- und Personalrückstellungen in Zusammenhang mit zu verrechnendem Deckungsvermögen","35","22"
"Zinsanteil in der Veränderung der Pensions- und Personalrückstellungen, die nicht in Zusammenhang 
mit zu verrechnendem Deckungsvermögen stehen","-224","-181"
"Erträge aus der Realisierung monetärer Fremdwährungsbilanzpositionen","880","2.186"
"Aufwendungen aus der Realisierung monetärer Fremdwährungsbilanzpositionen","-1.138","-2.214"
"Erträge aus Währungs-, Zins- und sonstigen derivativen Finanzinstrumenten","1.565","2.632"
"Aufwendungen aus Währungs-, Zins- und sonstigen derivativen Finanzinstrumenten","-1.867","-2.153"
"Ergebnis aus der Veränderung der Rückstellung für Risiken aus derivativen Finanzinstrumenten","386","59"
"Zuschreibungen auf Ausleihungen und auf Wertpapiere","138","71"
"Übrige finanzielle Erträge","23","23"
"Übrige finanzielle Aufwendungen","-2","–"
"Übriges Finanzergebnis","-205","445"
