"Siemens Healthcare NV, Groot-Bijgaarden / Belgien","10","107","100"
"Siemens Industry Software NV, Leuven / Belgien","5","538","100"
"Siemens S.A./N.V., Beersel / Belgien","24","88","100"
"Siemens A/S, Ballerup / Dänemark","6","58","100"
"Siemens Aarsleff Konsortium I/S, Ballerup / Dänemark","–","–","67 2, 5"
"Siemens Mobility A/S, Ballerup / Dänemark","12","32","100"
"Siemens Osakeyhtiö, Espoo / Finnland","12","40","100"
"Siemens France Holding SAS, Courbevoie / Frankreich","89","202","100"
"Siemens Healthcare SAS, Courbevoie / Frankreich","25","227","100"
"Siemens Industry Software SAS, Châtillon / Frankreich","10","53","100"
"Siemens Mobility SAS, Châtillon / Frankreich","-5","83","100"
"Siemens SAS, Courbevoie / Frankreich","71","220","100"
"Siemens Electrotechnical Projects and Products Single Member Societe Anonyme, Athen / 
Griechenland","6","91","100"
"SIEMENS HEALTHINEERS HELLAS SINGLE MEMBER SOCIETE ANONYME, Marousi / Griechenland","3","65","100"
"Mentor Graphics (Holdings) Unlimited Company, Shannon, County Clare / Irland","100","1.996","100"
"Siemens Industry Software Limited, Shannon, County Clare / Irland","206","1.807","100"
"Siemens Concentrated Solar Power Ltd., Rosh Ha'ayin / Israel","55","3.656","100"
"Siemens Industry Software Ltd., Airport City / Israel","36","149","100"
"UGS Israeli Holdings (Israel) Ltd., Airport City / Israel","–","1","100"
"Siemens Healthcare S.r.l., Mailand / Italien","9","246","100"
"Siemens S.p.A., Mailand / Italien","54","232","100"
"Siemens W.L.L., Doha / Katar","20","35","55"
"Siemens d.d., Zagreb / Kroatien","5","10","100"
"FAST TRACK DIAGNOSTICS LUXEMBOURG S.à r.l., Esch-sur-Alzette / Luxemburg","-15","50","100"
"SPT Holding SARL, Luxemburg / Luxemburg","–","511","100 6"
"SPT Invest Management, SARL, Luxemburg / Luxemburg","101","1.049","100 6"
"Varian Medical Systems Mauritius Ltd., Ebene / Mauritius","8","78","100"
"Buitengaats C.V., Amsterdam / Niederlande","49","177","20 6"
"Heliox Automotive B.V., Veldhoven / Niederlande","-17","161","100"
"KIC InnoEnergy S.E., Eindhoven / Niederlande","-53","401","6 6"
"Mendix Technology B.V., Rotterdam / Niederlande","-61","-81","100"
"Siemens Electronic Design Automation B.V., Eindhoven / Niederlande","1","12","100"
"Siemens eMobility Holding B.V., Veldhoven / Niederlande","-7","157","100"
"Siemens Financieringsmaatschappij N.V., Den Haag / Niederlande","8","83","100"
"Siemens Healthineers Holding I B.V., Den Haag / Niederlande","239","1.615","100"
"Siemens Healthineers Holding III B.V., Den Haag / Niederlande","284","4.239","100"
"Siemens Healthineers Holding IV B.V., Den Haag / Niederlande","–","13.895","100"
"Siemens Healthineers Nederland B.V., Den Haag / Niederlande","7","235","100"
"Siemens Industry Software Netherlands B.V., Eindhoven / Niederlande","111","540","100"
"Siemens International Holding B.V., Den Haag / Niederlande","864","10.476","100"
"Siemens Mobility Holding B.V., Den Haag / Niederlande","164","1.617","100"
"Siemens Nederland N.V., Den Haag / Niederlande","81","145","100"
"Sqills Products B.V., Enschede / Niederlande","5","564","100"
"Ural Locomotives Holding Besloten Vennootschap, Den Haag / Niederlande","11","100","50 3"
"Varian Medical Systems Nederland B.V., Houten / Niederlande","1","2.976","100"
"ZeeEnergie C.V., Amsterdam / Niederlande","49","177","20 6"
"Siemens AS, Oslo / Norwegen","12","23","100"
"ETM professional control GmbH, Eisenstadt / Österreich","18","25","100"
"Siemens Aktiengesellschaft Österreich, Wien / Österreich","179","1.664","100"
"Siemens Healthcare Diagnostics GmbH, Wien / Österreich","25","123","100"
"Siemens Konzernbeteiligungen GmbH, Wien / Österreich","126","1.950","100"
"Siemens Metals Technologies Vermögensverwaltungs GmbH, Wien / Österreich","-2","-8","100"
"Siemens Mobility Austria GmbH, Wien / Österreich","12","58","100"
"Siemens Sp. z o.o., Warschau / Polen","13","73","100"
"SIEMENS HEALTHCARE, UNIPESSOAL, LDA, Amadora / Portugal","8","96","100"
