"Siemens S.A., Amadora / Portugal","17","92","100"
"Siemens S.R.L., Bukarest / Rumänien","11","20","100"
"Siemens Ltd., Riad / Saudi-Arabien","42","72","51"
"Siemens AB, Solna / Schweden","11","107","100"
"Siemens Financial Services AB, Solna / Schweden","21","251","100"
"Siemens Healthineers International AG, Steinhausen / Schweiz","305","679","100"
"Siemens Industry Software GmbH, Zürich / Schweiz","19","214","100"
"Siemens Mobility AG, Wallisellen / Schweiz","27","85","100"
"Siemens Schweiz AG, Zürich / Schweiz","29","907","100"
"Varian Medical Systems Imaging Laboratory GmbH, Dättwil / Schweiz","22","34","100"
"Siemens Mobility d.o.o. Cerovac, Kragujevac / Serbien","-3","33","100"
"HMH, s.r.o., Bratislava / Slowakei","2","53","100"
"Siemens s.r.o., Bratislava / Slowakei","7","30","100"
"Fábrica Electrotécnica Josa, S.A.U., Tres Cantos / Spanien","-1","43","100"
"SIEMENS HEALTHCARE, S.L.U., Madrid / Spanien","-1","284","100"
"SIEMENS MOBILITY, S.L.U., Tres Cantos / Spanien","7","75","100"
"Siemens Rail Automation S.A.U., Tres Cantos / Spanien","22","684","100"
"Siemens S.A., Madrid / Spanien","49","225","100"
"Varian Medical Systems Iberica SL, Madrid / Spanien","2","135","100"
"Siemens Proprietary Limited, Midrand / Südafrika","3","39","85"
"Innomotics, s.r.o., Brno / Tschechien","18","44","100"
"OEZ s.r.o., Letohrad / Tschechien","51","84","100"
"Siemens Mobility, s.r.o., Prag / Tschechien","17","35","100"
"Siemens, s.r.o., Prag / Tschechien","36","64","100"
"Siemens AG - Siemens Sanayi Ve Ticaret AS Velaro Joint Venture, Kartal - Istanbul / Türkei","–","–","100 2"
"Siemens Healthcare Saglik Anonim Sirketi, Istanbul / Türkei","-14","34","100"
"Siemens Sanayi ve Ticaret Anonim Sirketi, Istanbul / Türkei","21","188","100"
"Brightly Software Limited, Farnborough, Hampshire / Vereinigtes Königreich","-1","167","100"
"Electrium Sales Limited, Farnborough, Hampshire / Vereinigtes Königreich","4","58","100"
"Galloper Wind Farm Holding Company Limited, Swindon, Wiltshire / Vereinigtes Königreich","164","81","25 6"
"Project Ventures Rail Investments I Limited, Farnborough, Hampshire / Vereinigtes Königreich","13","-41","100"
"SBS Pension Funding (Scotland) Limited Partnership, Edinburgh / Vereinigtes Königreich","19","661","57"
"Siemens Financial Services Ltd., Stoke Poges, Buckinghamshire / Vereinigtes Königreich","18","341","100"
"Siemens Healthcare Diagnostics Manufacturing Ltd, Camberley, Surrey / Vereinigtes Königreich","7","187","100"
"Siemens Healthcare Diagnostics Products Ltd, Camberley, Surrey / Vereinigtes Königreich","5","223","100"
"Siemens Healthcare Limited, Camberley, Surrey / Vereinigtes Königreich","64","127","100"
"Siemens Holdings plc, Farnborough, Hampshire / Vereinigtes Königreich","123","1.263","100"
"Siemens Industry Software Computational Dynamics Limited, Farnborough, Hampshire / 
Vereinigtes Königreich","–","–","100"
"Siemens Industry Software Limited, Farnborough, Hampshire / Vereinigtes Königreich","14","70","100"
"Siemens Mobility Limited, London / Vereinigtes Königreich","136","932","100"
"Siemens Pension Funding Limited, Farnborough, Hampshire / Vereinigtes Königreich","-4","469","100"
"Siemens plc, Farnborough, Hampshire / Vereinigtes Königreich","26","776","100"
"Siemens Process Systems Engineering Limited, Farnborough, Hampshire / Vereinigtes Königreich","2","5","100"
"Amerika (58 Gesellschaften)","","",""
"Siemens S.A., Buenos Aires / Argentinien","2","30","100"
"GNA 1 Geração de Energia S.A., São João da Barra / Brasilien","-86","127","22 6"
"Siemens Healthcare Diagnósticos Ltda., São Paulo / Brasilien","20","203","100"
"Siemens Infraestrutura e Indústria Ltda., São Paulo / Brasilien","46","68","100"
"Siemens Participações Ltda., São Paulo / Brasilien","-9","24","100"
"Dade Behring Hong Kong Holdings Corporation, Tortola / Britische Jungferninseln","11","100","100"
"Innomotics S.A., Santiago de Chile / Chile","15","32","100"
"Siemens S.A., Santiago de Chile / Chile","8","22","100"
"Brightly Software Canada, Inc., Oakville / Kanada","-5","64","100"
"EPOCAL INC., Toronto / Kanada","5","118","100"
"Innomotics Inc., Oakville / Kanada","3","11","100"
