"(in Mio. €) 
Ziffer","2024","2023"
"Aktiva","",""
"10 
Anlagevermögen","",""
"Immaterielle Vermögensgegenstände","272","285"
"Sachanlagen","1.063","1.022"
"Finanzanlagen","70.182","71.303"
"","71.518","72.610"
"Umlaufvermögen","",""
"Vorräte 
11","2.570","2.487"
"Erhaltene Anzahlungen","-1.080","-916"
"","1.490","1.571"
"Forderungen und sonstige Vermögensgegenstände 
12","",""
"Forderungen aus Lieferungen und Leistungen","1.328","1.762"
"Forderungen gegen verbundene Unternehmen","18.760","21.630"
"Übrige Forderungen und sonstige Vermögensgegenstände","1.836","1.227"
"","21.925","24.619"
"Sonstige Wertpapiere","95","164"
"Flüssige Mittel","1.797","2.370"
"","25.307","28.724"
"Rechnungsabgrenzungsposten","218","223"
"Aktive latente Steuern 
13","2.081","2.294"
"Aktiver Unterschiedsbetrag aus der Vermögensverrechnung 
14","64","33"
"Summe Aktiva","99.188","103.884"
